,county_fips_code,county_name,date,confirmed_cases,deaths,total_pop,male_pop,female_pop,median_income,median_rent,poverty,employed_pop,unemployed_pop,worked_at_home,walked_to_work,different_house_year_ago_different_city,different_house_year_ago_same_city
2713,48505,Zapata ,2021-01-19,1338,20,14415.0,7190.0,7225.0,34550.0,353.0,4873.0,5146.0,731.0,97.0,214.0,1334.0,489.0
2714,48217,Hill ,2021-01-19,2398,47,35098.0,17374.0,17724.0,45970.0,528.0,5967.0,14579.0,1293.0,661.0,195.0,4166.0,938.0
2715,48331,Milam ,2021-01-19,1577,19,24479.0,12194.0,12285.0,41768.0,454.0,3845.0,9527.0,551.0,439.0,53.0,2499.0,683.0
2716,48289,Leon ,2021-01-19,875,28,16966.0,8485.0,8481.0,44875.0,434.0,2741.0,6574.0,500.0,321.0,263.0,2128.0,333.0
2717,48419,Shelby ,2021-01-19,1278,45,25689.0,12740.0,12949.0,38121.0,420.0,5852.0,9432.0,755.0,260.0,158.0,2795.0,1213.0
2718,48293,Limestone ,2021-01-19,1420,34,23480.0,12071.0,11409.0,40356.0,463.0,4671.0,8824.0,1009.0,315.0,112.0,2375.0,640.0
2719,48241,Jasper ,2021-01-19,1965,48,35444.0,17420.0,18024.0,41960.0,485.0,5772.0,12541.0,1441.0,230.0,37.0,3554.0,1054.0
2720,48199,Hardin ,2021-01-19,4080,69,55993.0,27365.0,28628.0,56131.0,629.0,6669.0,24056.0,1097.0,443.0,221.0,5378.0,1136.0
2721,48053,Burnet ,2021-01-19,2196,34,45017.0,22234.0,22783.0,57173.0,664.0,5473.0,19567.0,869.0,1268.0,514.0,5191.0,533.0
2722,48213,Henderson ,2021-01-19,4434,106,79687.0,38840.0,40847.0,44888.0,572.0,14023.0,31087.0,2043.0,1230.0,367.0,8441.0,1867.0
2723,48187,Guadalupe ,2021-01-19,9123,128,150889.0,74611.0,76278.0,66187.0,827.0,15774.0,70169.0,3268.0,2843.0,512.0,14870.0,3973.0
2724,48439,Tarrant ,2021-01-19,195518,1798,1983675.0,971142.0,1012533.0,62532.0,815.0,264575.0,974947.0,55237.0,41118.0,11867.0,193741.0,128092.0
2725,48209,Hays ,2021-01-19,14460,130,194843.0,96973.0,97870.0,62815.0,888.0,28737.0,99069.0,5566.0,6293.0,1939.0,30159.0,10445.0
2726,48055,Caldwell ,2021-01-19,2738,55,40544.0,20563.0,19981.0,51346.0,623.0,6819.0,18238.0,649.0,722.0,645.0,5463.0,555.0
